"","gene","logFC","p_val","bonferroni","padj"
"429","RWDD1",0.120389379728396,1.70339867262482e-05,0.0201341723104254,6.13846716781263e-05
"435","SF3B5",0.213470251466013,4.0782634562666e-11,4.82050740530712e-08,4.91888510745625e-10
"437","EZR",0.353862998021687,1.37865031125016e-09,1.62956466789769e-06,1.22523659240428e-08
"443","RPA3",0.238077844280244,5.66854727344257e-06,0.00670022287720912,2.27898737320038e-05
"445","TOMM7",-0.243643138343597,6.30129603421141e-09,7.44813191243788e-06,4.80524639512121e-08
"446","TRA2A",-0.135366183872402,9.16776043860169e-06,0.0108362928384272,3.50689088622239e-05
"447","CYCS",0.509877134613193,1.690096004093e-14,1.99769347683793e-11,4.64579878334401e-13
"452","NT5C3A",0.317560955812351,2.04914334464544e-10,2.42208743337091e-07,2.08800640807837e-09
"457","PPIA",0.14060357758679,7.4346630180962e-10,8.78777168738971e-07,6.81222611425559e-09
"458","H2AZ2",0.199466560249977,5.52589430160435e-08,6.53160706449634e-05,3.28221460527454e-07
"459","IKZF1",-0.275252556580244,1.92411777311746e-10,2.27430720782484e-07,1.99500632265336e-09
"461","CHCHD2",0.228907861640144,2.17072004583172e-09,2.5657910941731e-06,1.84589287350582e-08
"462","SBDS",0.460054243968266,5.08424531071396e-10,6.0095779572639e-07,4.73195114745189e-09
"463","NCF1",-0.361169314046584,2.03248725064021e-11,2.40239993025673e-08,2.61130427201819e-10
"470","SEM1",0.196375633404085,4.07122227179681e-05,0.0481218472526383,0.0001344185677448
"471","ARPC1B",0.27424969393593,2.63352902822381e-10,3.11283131136055e-07,2.63799263674623e-09
"473","BUD31",0.268980342290174,1.16192527441661e-11,1.37339567436043e-08,1.57861571765567e-10
"477","ZNHIT1",0.175003641594963,2.95793123488775e-06,0.00349627471963732,1.27137262532266e-05
"483","LSM8",0.131800209740676,2.03943383115073e-07,0.000241061078842016,1.07138257263118e-06
"487","MTPN",0.207629715999149,7.63693875370002e-08,9.02686160687342e-05,4.44672985560267e-07
"488","ZC3HAV1",-0.290049290886925,5.42143644478386e-09,6.40813787773453e-06,4.21588018272008e-08
"492","GSTK1",0.334203362586452,8.19188440415865e-20,9.68280736571552e-17,6.45520491047701e-18
"496","GIMAP5",-0.241835631551741,5.46431898424259e-06,0.00645882503937474,2.21952750493977e-05
"499","CD99-ENSG00000002586",0.299420593955244,4.39780557303694e-09,5.19820618732967e-06,3.51230147792545e-08
"504","EIF1AX",-0.159897878690408,1.34413397658754e-05,0.0158876636032647,4.98045880980086e-05
"505","SAT1",0.373855634933824,5.30044758159152e-17,6.26512904144118e-14,2.32041816349673e-15
"506","EIF2S3",-0.353323173719577,4.96648856738522e-20,5.87038948664933e-17,4.19313534760666e-18
"510","TIMP1",0.604987141638595,3.79404659066314e-20,4.48456307016383e-17,3.73713589180319e-18
"512","RBM3",-0.16477677845171,4.30241112186813e-08,5.08544994604813e-05,2.67655260318322e-07
"513","PLP2",0.470938944208884,2.94498990337205e-14,3.48097806578576e-11,7.40633631018247e-13
"514","MSN",0.172503799651739,3.91314984560589e-09,4.62534311750616e-06,3.16804323116861e-08
"515","IGBP1",0.128189052238301,7.51842729975254e-06,0.0088867810683075,2.93293104564604e-05
"516","IL2RG",0.270605978909567,1.42922882293673e-09,1.68934846871122e-06,1.26070781247106e-08
"517","NONO",-0.131330545023943,1.842279472925e-05,0.0217757433699734,6.57877443201614e-05
"521","PGK1",0.218604847414253,7.59512632848614e-11,8.97743932027061e-08,8.6321531925679e-10
"523","SH3BGRL",0.13689961814028,4.54371724394382e-08,5.37067378234159e-05,2.76838854759876e-07
"534","RBMX",-0.15915845657058,1.25147526498965e-08,1.47924376321777e-05,8.85774708513634e-08
"535","BCAP31",0.180148147224957,3.18993282338859e-05,0.0377050059724531,0.000107421669437188
"536","SSR4",0.137668167333331,4.34965629416218e-08,5.14129373969969e-05,2.6917768270679e-07
"538","CNOT7",-0.127700237779246,2.11620954010857e-05,0.0250135967640833,7.44452284645337e-05
"542","NSD3",0.298384788051733,2.61914160304246e-13,3.09582537479619e-10,5.43127258736174e-12
"550","ELOC",0.182485920425744,5.66854727344257e-06,0.00670022287720912,2.27898737320038e-05
"552","ZFAND1",-0.287404584036551,7.48851355126954e-07,0.000885142301760059,3.64256091259284e-06
"556","MTDH",0.184065214258659,1.14624246950633e-13,1.35485859895648e-10,2.50899740547497e-12
"558","POLR2K",0.207746091022823,1.48078167190705e-05,0.0175028393619414,5.40211091417944e-05
"559","PABPC1",-0.154167477762666,3.08365849601456e-05,0.0364488434228921,0.000105039894590467
"562","EIF3E",-0.201843707321604,1.14517226533219e-07,0.000135359361762265,6.35489961325187e-07
"563","ENY2",0.160151034383079,1.97679296107011e-07,0.000233656927998487,1.04311128570753e-06
"566","TATDN1",-0.321367633531205,6.76359839901477e-11,7.99457330763545e-08,7.7617216578985e-10
