"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LGALS9",8.35959072763389e-321,-0.42174255817712,0.258,0.328,1.69582657500781e-316
"CDC42EP3",8.58422261417207e-318,0.520322179509627,0.219,0.157,1.74139539951095e-313
"RBM3",3.64869258090086e-317,0.294867486669906,0.532,0.469,7.40173776961548e-313
"PABPC4",1.74707887003167e-316,0.557473016613921,0.186,0.128,3.54412419574624e-312
"TLE4",4.65713982921332e-314,0.418214745751377,0.31,0.24,9.44747385754214e-310
"PSMA7",1.27016943316616e-311,-0.278382925033039,0.483,0.55,2.57666571212087e-307
"PNRC1",4.25565374869405e-309,0.243549769870153,0.627,0.575,8.63301919460076e-305
"CD68",1.19691511073517e-307,-0.298130611392198,0.433,0.499,2.42806199363737e-303
"GSTO1",5.13835417205609e-302,-0.301836652550508,0.393,0.466,1.0423665273433e-297
"NMI",6.61110021640893e-297,-0.542641066221953,0.14,0.199,1.34112778990072e-292
"ATP2B1-AS1",3.27327695660977e-296,0.303360912276846,0.498,0.43,6.64016963417858e-292
"NDUFA12",4.18300448746127e-290,-0.396710549079006,0.23,0.297,8.48564290326393e-286
"IVNS1ABP",1.61993758443653e-285,0.49933042581192,0.169,0.117,3.28620538378794e-281
"S100A8",2.71236922510939e-285,-0.279528086585705,0.995,0.995,5.5023122100569e-281
"TNFAIP3",6.98330624046546e-285,-0.478227916224344,0.226,0.283,1.41663350394082e-280
"MEF2C",3.58838916174282e-283,0.351621405198968,0.373,0.304,7.27940625351148e-279
"STAT2",4.69870977939268e-273,-0.629388344373229,0.105,0.154,9.53180265847599e-269
"BTF3",7.70944895434026e-269,0.175185467570447,0.822,0.791,1.56393881487747e-264
"CORO1A",8.15081756250872e-265,-0.178181528133759,0.676,0.711,1.65347485073052e-260
"CARD16",1.26659293820531e-260,-0.230871330358704,0.551,0.611,2.56941043444329e-256
"ARF5",2.03516477183757e-258,0.394350566610891,0.254,0.194,4.12853525614969e-254
"RBX1",5.29488779826884e-255,-0.27512105425333,0.436,0.5,1.07412093875682e-250
"JUNB",2.35292894680844e-253,-0.1227332235362,0.826,0.842,4.7731516614956e-249
"MBNL1",1.20968657038797e-252,0.300140319582852,0.429,0.364,2.45397017668904e-248
"EMP3",1.26065362455706e-252,-0.169733058084792,0.799,0.817,2.55736194277645e-248
"DYNLT1",6.36098833770097e-251,-0.332779669027942,0.24,0.304,1.29039009418602e-246
"EIF2S3",1.01039341725739e-250,0.386811968183698,0.304,0.244,2.04968408624833e-246
"NDUFB1",2.25619206906457e-250,0.211639883372482,0.641,0.581,4.5769112313044e-246
"POLR2L",6.92895295012045e-250,0.215634258924788,0.657,0.6,1.40560739546143e-245
"IL32",5.04372040892721e-249,0.48502480466218,0.151,0.104,1.02316912215497e-244
"FKBP5",1.40660977902244e-248,-0.591816741406132,0.124,0.161,2.85344859772492e-244
"H3-3B",3.54890062567169e-244,0.139334961923494,0.943,0.929,7.19929980923759e-240
"DRAP1",2.15379108363657e-243,-0.311385231141628,0.337,0.401,4.36918059226515e-239
"TSC22D3",1.74464294272196e-242,-0.240231079134474,0.552,0.596,3.53918267360577e-238
"UBA52",1.41816790375619e-241,0.0923327593633285,0.98,0.98,2.87689540955981e-237
"HNRNPL",2.55777580801728e-241,0.505068630040892,0.147,0.102,5.18870400414386e-237
"CNIH4",8.58359677697336e-241,-0.443923450138512,0.14,0.193,1.74126844217682e-236
"HIF1A",4.24830988306079e-236,0.331900616264066,0.358,0.295,8.61812142877712e-232
"TMEM59",7.62739745317423e-235,-0.271101511421159,0.361,0.427,1.54729384735092e-230
"NOP53",2.39835771664508e-233,0.256854943439863,0.502,0.446,4.8653084639862e-229
"CSDE1",2.31952861358939e-231,0.320567706289524,0.354,0.293,4.70539574552744e-227
"SNHG25",6.49760522593165e-230,0.338262209999751,0.287,0.228,1.3181041961325e-225
"ATP5MJ",3.23867954717227e-229,0.150416044527824,0.891,0.864,6.56998532939367e-225
"CYP1B1",1.50418959486757e-227,0.510764825470308,0.179,0.131,3.05139901214835e-223
"ITM2B",1.81797468999062e-227,-0.143500968111399,0.818,0.837,3.68794345611496e-223
"SBDS",7.38847795615628e-227,-0.50616643340943,0.124,0.172,1.49882663818586e-222
"LY96",5.85634338498761e-224,-0.272804262413034,0.393,0.456,1.18801781907859e-219
"LRP1",2.26376213169046e-223,0.441213882098835,0.201,0.151,4.59226786034727e-219
"SET",4.51376422313068e-223,0.296427036423937,0.416,0.356,9.1566221030429e-219
"TALDO1",4.8994766451537e-223,-0.210292447652655,0.534,0.588,9.9390783223588e-219
"EIF3E",1.37573334023699e-222,0.21548529313589,0.631,0.582,2.79081265400476e-218
"PSMB8",5.52436863347702e-217,-0.318669436146758,0.291,0.351,1.12067342098715e-212
"CALM1",1.17081577329042e-215,-0.22702005641012,0.514,0.564,2.37511687769694e-211
"STK17B",3.17205920915746e-215,0.247679885864508,0.508,0.457,6.43483931169682e-211
"CMTM6",2.6776094223261e-214,0.279974553068971,0.422,0.362,5.43179847413072e-210
"FPR1",9.3319256379452e-214,-0.312075069638982,0.307,0.366,1.89307443491356e-209
"CLEC4E",1.13169907534167e-213,-0.375522528527415,0.243,0.298,2.29576474423812e-209
"UBC",1.02334649719553e-211,-0.141650584306615,0.763,0.783,2.07596070421085e-207
"PSMA4",2.95158973396723e-211,-0.276523465252074,0.388,0.444,5.98759493432592e-207
"DNAJC15",3.27520341641527e-211,-0.382626593906086,0.185,0.238,6.64407765054001e-207
"TTC3",4.17663799496597e-209,0.482697824982004,0.16,0.115,8.47272783658797e-205
"HLA-E",1.39093143056356e-207,-0.17759891726753,0.67,0.705,2.82164350004124e-203
"TREX1",4.96867380264128e-207,-0.461980395059064,0.114,0.159,1.00794516760381e-202
"MAP3K1",4.4701469139267e-203,0.379137615273754,0.219,0.169,9.06814002959171e-199
"COMMD6",1.39561503820464e-202,0.178982444772522,0.729,0.685,2.83114466650193e-198
"SRSF6",1.26018240243576e-201,0.42748333318244,0.183,0.137,2.55640602158117e-197
"MT1X",9.95924963581664e-201,-0.502837872814833,0.136,0.183,2.02033338112176e-196
"VSIR",2.55820910215817e-199,-0.202964717022779,0.546,0.592,5.18958298463807e-195
"SNHG8",5.69206437821987e-199,0.352177889164354,0.278,0.225,1.15469217976568e-194
"NKG7",2.50658015775861e-198,0.307005394115719,0.254,0.201,5.08484850802913e-194
"EIF4G2",4.05689249569694e-196,0.275638008167948,0.41,0.355,8.22981211677082e-192
"CCNI",2.67286130684465e-194,0.208466968431968,0.585,0.541,5.42216644706506e-190
"PFDN5",3.37366759932926e-192,0.097949173929412,0.977,0.972,6.84382209199935e-188
"BIRC2",4.49159693231935e-192,0.442964928864064,0.176,0.131,9.11165353690304e-188
"OGFRL1",4.44049932221662e-191,0.31469097431983,0.295,0.24,9.00799692504863e-187
"RSL24D1",8.60793561180305e-190,0.26662366801043,0.449,0.396,1.74620581821037e-185
"RAP2B",2.11067750557202e-188,0.425232677880042,0.181,0.136,4.2817203878034e-184
"DDX21",4.34643131671224e-188,0.300853540936554,0.356,0.303,8.81717056908245e-184
