"","p_value","bonferroni_pval","fdr"
"TC2N",5.16460923226892e-07,0.000610456811254187,2.58668140361944e-06
"NUCKS1",5.37143188169907e-07,0.00063490324841683,2.67891665998663e-06
"RIPOR2",6.03125679898808e-07,0.000712894553640392,2.9953552673966e-06
"SEC62",6.22302638000621e-07,0.000735561718116735,3.07766409253864e-06
"U2SURP",6.47697905077943e-07,0.000765578923802128,3.18991218250887e-06
"SUB1",6.62044474146699e-07,0.000782536568441398,3.24703970307634e-06
"NDUFA6",6.81424573368392e-07,0.000805443845721439,3.32828035422082e-06
"CCNI",7.81462772382469e-07,0.000923688996956078,3.8011892878851e-06
"TYROBP",7.85692373292373e-07,0.000928688385231585,3.80609993947371e-06
"PRMT2",8.50066888077672e-07,0.00100477906170781,4.10113902737881e-06
"PARK7",8.56458472292712e-07,0.00101233391424999,4.11517851321132e-06
"CAST",8.75221040387369e-07,0.00103451126973787,4.18830473578085e-06
"ATP5F1C",9.84094880471464e-07,0.00116320014871727,4.69032318031157e-06
"RAN",1.0339136892124e-06,0.00122208598064906,4.90797582589983e-06
"COX6A1",1.0948539372613e-06,0.00129411735384285,5.17646941537142e-06
"CXCR4",1.17553213282936e-06,0.0013894789810043,5.53577283268647e-06
"RNF181",1.21204608182128e-06,0.00143263846871275,5.68507328854267e-06
"TPI1",1.32869772661851e-06,0.00157052071286308,6.20759175044696e-06
"SAMHD1",1.35017417800553e-06,0.00159590587840253,6.28309400945878e-06
"ANKRD49",1.41902873013134e-06,0.00167729195901524,6.57761552554997e-06
"SRSF6",1.6055916257533e-06,0.0018978093016404,7.41331758453282e-06
"NSD3",1.65193063849112e-06,0.00195258201469651,7.59759538792416e-06
"AURKAIP1",1.75209453623484e-06,0.00207097574182958,8.02703775902939e-06
"MBNL1",1.79880871658456e-06,0.00212619190300295,8.20923514672952e-06
"MDM4",1.86185161684452e-06,0.00220070861111022,8.46426388888548e-06
"TUBA1A",1.88793258094685e-06,0.00223153631067918,8.54994755049492e-06
"CASP4",2.07055155327253e-06,0.00244739193596813,9.3411905952982e-06
"PDIA3",2.08238782383331e-06,0.00246138240777098,9.35886847061208e-06
"COX5B",2.13125491851331e-06,0.00251914331368273,9.51967808372525e-06
"CCDC85B",2.13427638932926e-06,0.00252271469218719,9.51967808372525e-06
"SF3B6",2.19930701855254e-06,0.00259958089592911,9.77286051101168e-06
"SRP19",2.43291749551868e-06,0.00287570847970309,1.07704437442063e-05
"FTH1",2.55008986362485e-06,0.00301420621880457,1.12470381298678e-05
"UQCR10",2.62655146970224e-06,0.00310458383718805,1.15412038557176e-05
"EIF3D",2.84277257408592e-06,0.00336015718256956,1.24450266021095e-05
"TUT4",3.01987789109519e-06,0.00356949566727451,1.31715707279502e-05
"ZNF207",3.05052229604558e-06,0.00360571735392588,1.32563138011981e-05
"NFKBIA",3.10717784640911e-06,0.00367268421445556,1.34530557306065e-05
"HLA-C",3.15271927583419e-06,0.00372651418403601,1.36004167300584e-05
"CD53",3.21511057500016e-06,0.00380026069965019,1.38191298169098e-05
"COX7C",3.33047950671944e-06,0.00393662677694237,1.4263140496168e-05
"NT5C3A",3.53890503872047e-06,0.0041829857557676,1.51010316092693e-05
"PTPRCAP",3.73543377751386e-06,0.00441528272502139,1.58823119605086e-05
"RAD21",4.02819918172641e-06,0.00476133143280062,1.70657040602173e-05
"OXNAD1",4.14691356057556e-06,0.00490165182860031,1.75058993878583e-05
"ARF1",4.2697808898366e-06,0.00504688101178687,1.79096539252188e-05
"CSTB",4.272861596372e-06,0.00505052240691171,1.79096539252188e-05
"TLE4",4.29856750760332e-06,0.00508090679398713,1.79537342543715e-05
"TYMP",4.3664737986498e-06,0.00516117203000407,1.81731409507185e-05
"TRA2A",4.90314391759156e-06,0.00579551611059323,2.03351442476955e-05
"SS18L2",5.77663829102861e-06,0.00682798645999581,2.38740785314539e-05
"MDH1",7.05721722420221e-06,0.00834163075900701,2.90649155366098e-05
"METAP2",7.09029735927534e-06,0.00838073147866346,2.90997620786926e-05
"PSAP",7.28547316799434e-06,0.00861142928456931,2.97973331645997e-05
"BIRC2",7.48217063539668e-06,0.00884392569103888,3.0496295486341e-05
"DDIT4",7.68973240183215e-06,0.0090892636989656,3.12222067622188e-05
"DHRS7",7.71310014768856e-06,0.00911688437456788,3.12222067622188e-05
"GTF3C6",8.08921865752041e-06,0.00956145645318913,3.26329571781199e-05
"FAM162A",8.18665677034747e-06,0.0096766283025507,3.28202441580665e-05
"TOB1",8.19117768750391e-06,0.00968197202662962,3.28202441580665e-05
"BLOC1S2",8.34153022057544e-06,0.00985968872072017,3.33097591916222e-05
"EEF1A1",8.42289479735503e-06,0.00995586165047365,3.35214196985645e-05
"PABPN1",8.53215224695649e-06,0.0100850039559026,3.38422951540355e-05
"SEPTIN9",8.86769440953783e-06,0.0104816147920737,3.50555678664673e-05
"CD3D",8.95828376152524e-06,0.0105886914061228,3.52956380204094e-05
"SORL1",9.12991427030111e-06,0.0107915586674959,3.58523543770628e-05
"BCAS2",1.01740204656125e-05,0.012025692190354,3.98201728157418e-05
"CNOT7",1.03674278681026e-05,0.0122542997400973,4.04432334656675e-05
"MT-ND5",1.06209820132433e-05,0.0125540007396536,4.12960550646499e-05
"UFC1",1.17084334638172e-05,0.0138393683542319,4.53749782105965e-05
"KHDRBS1",1.20101441006645e-05,0.0141959903269855,4.63921252515866e-05
"SBDS",1.20754768853122e-05,0.014273213678439,4.64925526984983e-05
"DAD1",1.22810972649966e-05,0.014516256967226,4.71307044390456e-05
"DYNLT1",1.2444865589996e-05,0.0147098311273752,4.76046314801787e-05
"ATP5F1B",1.29846477887672e-05,0.0153478536863228,4.9509205439751e-05
"UBL5",1.36028054408308e-05,0.016078516031062,5.16994084600065e-05
"BRK1",1.37089136385372e-05,0.016203935920751,5.1935692053689e-05
"SNRPF",1.4265123688231e-05,0.0168613761994891,5.38702114999652e-05
"OAZ1",1.43207860996618e-05,0.0169271691698002,5.39081820694275e-05
"HLA-F",1.53074044137899e-05,0.0180933520170996,5.74392127526972e-05
"MAGOH",1.53743246703106e-05,0.0181724517603071,5.74565327346146e-05
"LCP2",1.54092393205354e-05,0.0182137208768728,5.74565327346146e-05
"PPP4C",1.76003631955976e-05,0.0208036292971964,6.5420217915712e-05
"CCNG1",2.07986906870846e-05,0.024584052392134,7.70659949596678e-05
"TNFAIP3",2.09629085701436e-05,0.0247781579299097,7.74317435309678e-05
