"","p_value","bonferroni_pval","fdr"
"PRDX1",3.45732106176487e-09,6.79709320742974e-06,2.35193536589264e-08
"WDR45B",3.54746673570186e-09,6.97431960238985e-06,2.40493779392754e-08
"NDUFA12",3.81016320542423e-09,7.49078086186404e-06,2.57415149892235e-08
"RCSD1",4.00030270796229e-09,7.86459512385387e-06,2.6933544944705e-08
"NOP53",4.49463064626655e-09,8.83644385056003e-06,3.01585114353585e-08
"ARHGAP4",4.58357353875785e-09,9.01130557719793e-06,3.06506992421698e-08
"GAPDH",4.88912589605346e-09,9.6120215116411e-06,3.25831237682749e-08
"FAM91A1",5.19087831132385e-09,1.02052667600627e-05,3.44772525677794e-08
"SLCO3A1",5.21189420569472e-09,1.02465840083958e-05,3.45002828565516e-08
"HSPA9",5.41586282170693e-09,1.06475863074758e-05,3.57301553942142e-08
"ITM2B",5.69075240036443e-09,1.11880192191165e-05,3.73730035622157e-08
"MT1X",5.70289983146729e-09,1.12119010686647e-05,3.73730035622157e-08
"OGA",5.87557893323351e-09,1.15513881827371e-05,3.83767049260368e-08
"TMEM50A",5.97154560006553e-09,1.17400586497288e-05,3.88743663898306e-08
"SRSF9",6.23888060089061e-09,1.22656392613509e-05,4.04806576282209e-08
"VSIR",6.43517993450531e-09,1.26515637512374e-05,4.16169860238073e-08
"FXR1",6.47178278781554e-09,1.27235249608453e-05,4.17164752814602e-08
"RSL24D1",6.7865914626455e-09,1.3342438815561e-05,4.36027412273237e-08
"KHDRBS1",7.03719703435106e-09,1.38351293695342e-05,4.50655679789387e-08
"SERPINA1",7.49103443129925e-09,1.47273736919343e-05,4.77378198897695e-08
"HNRNPA2B1",7.50304493689663e-09,1.47509863459388e-05,4.77378198897695e-08
"CELF1",7.68487985774833e-09,1.51084738003332e-05,4.87370122591394e-08
"EIF3J",7.84550088839478e-09,1.54242547465841e-05,4.95956744263156e-08
"DYNLT1",8.13827334031862e-09,1.59998453870664e-05,5.12815557277769e-08
"FCN1",8.23431480867561e-09,1.61886629138563e-05,5.17209677758986e-08
"KMT2E",8.49145519020952e-09,1.66942009039519e-05,5.31662449170443e-08
"NCL",8.52937063959535e-09,1.67687426774445e-05,5.32341037379189e-08
"CLIC1",9.04884746763065e-09,1.77900341213619e-05,5.62975763334236e-08
"HMGN1",9.17334615397943e-09,1.80347985387236e-05,5.68921089549639e-08
"NKG7",9.2916446156707e-09,1.82673733144086e-05,5.74445701710962e-08
"TM9SF3",9.41406511163572e-09,1.85080520094758e-05,5.80189718165387e-08
"EEF1B2",9.55970626144584e-09,1.87943825100025e-05,5.87324453437579e-08
"GIMAP2",1.00157753853074e-08,1.96910144075144e-05,6.1340676113468e-08
"NOTCH2",1.00466417642608e-08,1.97516977085367e-05,6.1340676113468e-08
"FAM133B",1.16830467148617e-08,2.29688698414181e-05,7.09683730729562e-08
"NFKBIA",1.16957033955431e-08,2.29937528756378e-05,7.09683730729562e-08
"PLAAT4",1.3073850640005e-08,2.57031903582498e-05,7.90867395638454e-08
"TOMM7",1.36759832054907e-08,2.68869829819948e-05,8.24754079202293e-08
"NDUFB3",1.50487388171654e-08,2.95858205145472e-05,9.04765153350069e-08
"CD163",1.57180833871103e-08,3.09017519390588e-05,9.4212658350789e-08
"SNHG25",1.64399392487176e-08,3.23209205629788e-05,9.82398801306345e-08
"UBE2L3",1.7328630473653e-08,3.40680875112018e-05,1.03236628821824e-07
"PDIA4",1.84401656582349e-08,3.62533656840898e-05,1.09526784544078e-07
"RAB4A",1.90532803437914e-08,3.74587491558938e-05,1.12827557698475e-07
"MT-ND4",1.96088227830885e-08,3.85509455915519e-05,1.15768605380036e-07
"ANAPC15",2.10847221447624e-08,4.14525637366029e-05,1.24109472265278e-07
"TMEM107",2.12811697003283e-08,4.18387796308454e-05,1.24805095612126e-07
"TXN",2.13298637465281e-08,4.19345121256742e-05,1.24805095612126e-07
"RANBP1",2.25392510822087e-08,4.43121676276222e-05,1.31490111654665e-07
"SEPTIN9",2.51683288220284e-08,4.94809344641078e-05,1.46393297231088e-07
"CORO1A",2.80348859239135e-08,5.5116585726414e-05,1.62585798602991e-07
"POLR2L",2.90215097376871e-08,5.70562881442929e-05,1.67812612189097e-07
"DPEP2",2.9214823642794e-08,5.7436343281733e-05,1.68435024286607e-07
"TPT1",3.07888366689127e-08,6.05308528910825e-05,1.76990797927142e-07
"RGS10",3.31669000736734e-08,6.5206125544842e-05,1.90105322288169e-07
"SRRM2",3.34757628243499e-08,6.58133497126719e-05,1.91317877071721e-07
"MBP",3.394538019604e-08,6.67366174654146e-05,1.93439470914245e-07
"EWSR1",3.48029452998379e-08,6.84225904594812e-05,1.97753151616998e-07
"BLOC1S1",3.5332348519972e-08,6.94633971902649e-05,2.00182700836498e-07
"CDV3",3.78733193408303e-08,7.44589458240724e-05,2.13962488000208e-07
