"","p_value","bonferroni_pval","fdr"
"CD68",1.1842485492781e-09,2.32704839933146e-06,1.3608470171529e-08
"ST13",1.19930602825796e-09,2.35663634552688e-06,1.36969709887024e-08
"NAP1L1",1.20589108450154e-09,2.36957598104552e-06,1.36969709887024e-08
"LGALS1",1.39678202248474e-09,2.74467667418252e-06,1.57740038746122e-08
"RGS10",1.44337477647639e-09,2.83623143577611e-06,1.62070367758635e-08
"EEF1B2",1.61413398824003e-09,3.17177328689167e-06,1.80214391300663e-08
"EIF4G2",1.6953032935256e-09,3.3312709717778e-06,1.87356557964169e-08
"FCGR2A",1.69717390929374e-09,3.33494673176221e-06,1.87356557964169e-08
"TMEM107",1.78837945950336e-09,3.5141656379241e-06,1.96322102677324e-08
"ANKRD44",1.80195149275734e-09,3.54083468326817e-06,1.96713037959343e-08
"NONO",1.84079776473755e-09,3.61716760770928e-06,1.99843514238082e-08
"S100A4",1.85605571585927e-09,3.64714948166347e-06,2.00392828662828e-08
"MBNL1",1.87788039489486e-09,3.6900349759684e-06,2.01641255517399e-08
"WDR74",1.90338320461616e-09,3.74014799707076e-06,2.02571529127417e-08
"FBL",1.9071619790622e-09,3.74757328885722e-06,2.02571529127417e-08
"C12orf57",1.98943217917957e-09,3.90923423208786e-06,2.10173883445584e-08
"TANK",2.2225831104769e-09,4.36737581208712e-06,2.3354950866776e-08
"RAB8A",2.25618354047156e-09,4.43340065702661e-06,2.35819183884394e-08
"CHMP2A",2.27082334890058e-09,4.46216788058963e-06,2.36093538655536e-08
"GNG2",2.34704372049387e-09,4.61194091077045e-06,2.42733732145813e-08
"RNMT",2.49718520554871e-09,4.90696892890322e-06,2.56909368005404e-08
"PSMA3-AS1",2.55740499743921e-09,5.02530081996805e-06,2.61734417706669e-08
"MT-ND4",2.69436438157601e-09,5.29442600979685e-06,2.74322591181184e-08
"MAP3K1",2.86811814409643e-09,5.63585215314949e-06,2.9050784294585e-08
"CPEB4",3.14724078241372e-09,6.18432813744295e-06,3.17145032689382e-08
"FOS",3.32927066598441e-09,6.54201685865937e-06,3.33776370339764e-08
"ATP5F1C",3.89621350665756e-09,7.65605954058211e-06,3.8863246398894e-08
"RACK1",4.18830530947899e-09,8.23001993312622e-06,4.15657572380112e-08
"IVNS1ABP",4.64910835245592e-09,9.13549791257589e-06,4.5907024686311e-08
"RNF213",5.1632697685707e-09,1.01458250952414e-05,5.07291254762071e-08
"S100A11",5.20607601660141e-09,1.02299393726218e-05,5.08952207593123e-08
"STK4",6.317091793058e-09,1.2413085373359e-05,6.14509176898959e-08
"VAMP5",6.66528827936411e-09,1.30972914689505e-05,6.45186771869482e-08
"RSL24D1",7.10831557524357e-09,1.39678401053536e-05,6.8469804438008e-08
"DYNLT1",7.97555722316846e-09,1.5671969943526e-05,7.64486338708586e-08
"CLTA",8.08380959929088e-09,1.58846858626066e-05,7.68857530612917e-08
"PARP8",8.0994152079834e-09,1.59153508836874e-05,7.68857530612917e-08
"NDUFA12",8.52632537049761e-09,1.67542293530278e-05,8.05491795818644e-08
"HLA-E",8.69491889997208e-09,1.70855156384451e-05,8.17488786528475e-08
"RHOG",9.28572019711582e-09,1.82464401873326e-05,8.68878104158694e-08
